Fault 2021-12-22 19:37:09,,,,,,,,,,,,,,,,,,,,,
,Fault Number,Building Trade,Trade Category,Type of Fault,Impact,Location,Cancel Status,Reported Date,Fault Acknowledged Date,Responded on Site Date,RA Conducted Date,Work Started Date,Work Completed Date,Action(s) Taken,Other Trades Required Date,Cost Cap Exceed Date,Assistance Requested Date,Fault Reference,End User Priority,Incident Report,Remarks
,FID4831,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 11,,2021-12-22 17:25:18,2021-12-22 17:28:31,2021-12-22 17:28:51,2021-12-22 17:29:11,2021-12-22 17:29:32,2021-12-22 17:30:13,Adjusted the temperature setpoint from 28c to 20c and damper position from 100% auto to 0% manual in bms system make it cool,,,,,,,Aircon make it cool-su-high
,FID4830,Office and Furniture,Safe Box,Cannot open / close,Localised to room,RMG > RH > 9 > Ward 980 - 986,,2021-12-22 16:48:05,,,,,,,,,,,,,Need to open patient locker -Allan-low
,FID4827,Mechanical,Lift & Escalators (Schindler),"Other: Lift door keep open and closeLift door keep open and close, for all levels",Whole Building,RMG > RH > All > Patient Lift 11,,2021-12-22 15:46:21,,,,,,,,,,,,,"Lift door keep open and close, for all levels -mani-low"
,FID4825,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1059,,2021-12-22 15:37:01,2021-12-22 15:42:04,2021-12-22 15:42:22,2021-12-22 15:42:40,2021-12-22 15:43:04,2021-12-22 15:47:48,Adjusted vav 1-1-17 temperature setpoint from 20c to 24c in bms system make it warm. damper position automatically reduce from 90% open to 20%.,,,,,,,"Aircon too cold, make it warm-su-low"
,FID4824,Building,Door Knob / Handle,Unable to open or close properly,Localised to room,RMG > RSC > 8 > Children Centre Consult Rm 3,,2021-12-22 15:35:14,,,,,,,,,,,,,Door handle loose-Allan-low
,FID4822,Medical Equipment,Fridges & Freezers,Other: fridge got smell,Localised to room,RMG > RH > 2 > Skin & Aesthetics Treatment Rm 7,,2021-12-22 15:30:17,2021-12-22 17:16:51,2021-12-22 17:17:17,2021-12-22 17:18:36,2021-12-22 17:19:59,2021-12-22 17:21:09,fridge smell clean retun back,,,,,,,Fridge got smell-Aru-low
,FID4816,Electrical,Light Bulb,Flickering / Blown,Affecting Public,RMG > RH > 2 > Passenger Lift Lobby,,2021-12-22 14:22:29,,,,,,,,,,,,,Light fused-mani-low
,FID4815,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > Dental Clinic,,2021-12-22 14:21:43,,,,,,,,,,,,,Signage light bulb fused-mani-low
,FID4814,Plumbing & Sanitary,Soap Dispenser,Other: Soap dispenser dropped,Localised to room,RMG > RH > 2 > Dental X-Ray,,2021-12-22 14:19:10,,,,,,,,,,,,,Soap dispenser dropped-Hossain-low
,FID4813,Office and Furniture,Cabinet,Other: Screw loose,Localised to room,RMG > RH > 7 > CSSD,,2021-12-22 14:18:19,2021-12-22 14:53:12,2021-12-22 14:53:32,2021-12-22 14:53:52,2021-12-22 14:54:14,2021-12-22 14:54:47,Yes done,,,,,,,Cabinet screw loose -allan-low
,FID4811,Building,Door Closer,Unable to open or close properly,Localised to room,RMG > RH > 8 > Delivery Suite 5,,2021-12-22 13:30:33,2021-12-22 13:40:47,2021-12-22 13:41:08,2021-12-22 13:41:27,2021-12-22 13:41:47,2021-12-22 13:42:17,Done already,,,,,,,Door cannot stay open-allan-low
,FID4809,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 817,,2021-12-22 13:28:11,,,,,,,,,,,,,Aircon make it warm-isyamudin-low
,FID4807,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 8 > Ward 855,,2021-12-22 13:24:49,,,,,,,,,,,,,Wall clock not working-Hossain-low
,FID4802,Electrical,Vending Machine,Other: Out of order,Affecting Public,RMG > RSC > 13 > Surgical Ctr,,2021-12-22 10:51:55,,,,,,,,,,,,,Coffee vending machine out of order-Hossain-low
,FID4801,Electrical,Vending Machine,Unserviceable,Localised to room,RMG > RH > 7 > Corridor,,2021-12-22 10:50:54,2021-12-22 11:07:13,2021-12-22 11:07:44,2021-12-22 11:08:34,2021-12-22 11:09:04,2021-12-22 11:14:15,Remove the cutlery box normal back,,,,,,,Chef-in-a-box vending machine cutlery stuck-mani-low
,FID4800,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 7 > OT Clean Corridor,,2021-12-22 10:49:39,2021-12-22 11:22:09,2021-12-22 11:22:45,2021-12-22 11:24:37,2021-12-22 11:25:31,2021-12-22 11:37:43,Replaced new bulb 2 nos,,,,,,,Light flickering -mani-low
,FID4799,Office and Furniture,Safe Box,Cannot open / close,Localised to room,RMG > RH > 9 > Ward 980 - 986,,2021-12-22 10:48:29,2021-12-22 11:18:16,2021-12-22 11:18:40,2021-12-22 11:19:02,2021-12-22 11:19:26,2021-12-22 11:20:06,Done I have open,,,,,,,Patient locker need to open -allan-low
,FID4797,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,2021-12-22 10:35:24,2021-12-22 10:36:09,2021-12-22 10:36:34,2021-12-22 10:36:54,2021-12-22 10:37:13,2021-12-22 10:38:42,delivered one Co2 cylinder,,,,,,,Need one CO2 cylinder to be replaced- Shanmu-medium
